gene	log2FC	p	padj	n
AGK	-0.0273919479983405	0.634829130890025	0.949954181497309	12
AGL	0.226613225159575	0.155997985594812	0.885773097180621	12
AGMAT	0.0767543814179531	0.673072142148505	0.952774103197234	12
AGO1	0.0443469570382618	0.656761378009552	0.951690499723663	12
AGO2	0.0510856380182797	0.764566658057454	0.967708232644547	12
AGO3	0.223512593647311	0.23911452865319	0.910126055855996	12
AGO4	0.106191679861809	0.429131695524334	0.931174362355899	12
AGPAT1	-0.104050005762106	0.106147792080108	0.86713939144066	12
AGPAT2	-0.211201793641104	0.0574469994617285	0.802148472342413	12
AGPAT3	-0.0292740186120237	0.585825824156894	0.946117165860217	12
AGPAT4	0.079825747010142	0.270229880574472	0.913790910495063	12
AGPAT5	0.0385377597044577	0.685058112999606	0.954561991764655	12
AGPS	0.0900375763036136	0.391212775960921	0.923966641877276	12
AGRN	-0.0238002520309737	0.768103046580936	0.968098672818328	12
AGT	0.0829196645417889	0.595995879937777	0.947341143475751	12
AGTPBP1	0.107058934151789	0.28835950876567	0.914212316353145	12
AGTR1	-0.0762482699239164	0.358394166985828	0.920065355159794	12
AGTRAP	0.004373384121438	0.958787487745063	0.993292041887274	12
AHCTF1	0.0964657980954707	0.431512095787028	0.931174362355899	12
AHCY	-0.0422706486858683	0.513466622129628	0.93899561275103	12
AHCYL1	0.0568173082593022	0.325080840130041	0.91983023571304	12
AHCYL2	0.0868487693304313	0.359431185404675	0.920065355159794	12
AHDC1	-0.117292240953879	0.162792717531262	0.890587189759463	12
AHI1	0.206265615892043	0.0723108789648601	0.825524808254809	12
AHNAK	-0.0308415650777373	0.866227718295057	0.982708008262452	12
AHNAK2	-0.0574245319484037	0.732803318712729	0.963919913343472	12
AHR	0.266741561231144	0.452674691345494	0.932617280011103	12
AHRR	0.0870220201683722	0.836598917122915	0.975935600316512	12
AHSA1	-0.0918450000393188	0.251724931647464	0.910661026465736	12
AIDA	0.0337034606302836	0.746814570963543	0.965247670763021	12
AIFM1	0.0147113258889475	0.853570374057497	0.979406092783942	12
AIFM2	-0.0879552386568596	0.215912943190137	0.905994515401443	12
AIG1	0.114687590877703	0.150846720425435	0.883296665796862	12
AIMP1	0.121664627360874	0.0155333476658474	0.614137541334316	12
AIMP2	-0.0445818796876571	0.586539566159032	0.946117165860217	12
AIP	-0.153346921457525	0.159535723875457	0.887977533750525	12
AJM1	-0.184810651554173	0.189605023685124	0.90374436577486	12
AJUBA	-0.0120674554680562	0.881139531637618	0.984442629005518	12
AK1	-0.131463421948909	0.347258507957197	0.920065355159794	12
AK2	-0.0406112168021655	0.517928207677457	0.939017652490207	12
AK3	0.118458351825819	0.0324144338548402	0.707090405752656	12
AK4	-0.00533842516104351	0.966112455959945	0.994412967364699	12
AK5	-0.0590696577975462	0.526404624902626	0.939592359975724	12
AK6	0.204658156972106	0.103571204870736	0.860943518713874	12
AK9	0.0143400205201333	0.918872095633125	0.988934808985314	12
AKAP1	-0.0521218941962904	0.488689401347122	0.934285302125497	12
AKAP10	0.0311534296309553	0.658659539546931	0.951690499723663	12
AKAP11	0.194053748200748	0.383388592348918	0.923966641877276	12
AKAP12	-0.114228435284433	0.42983420365756	0.931174362355899	12
AKAP13	0.0136926147605626	0.934807825514117	0.989898580327826	12
AKAP17A	0.243330342762534	0.590795029691799	0.947341143475751	12
AKAP5	0.0166009012690006	0.956123229453408	0.992622926592252	12
AKAP6	-0.00725021704737551	0.970844852006825	0.995081206599161	12
AKAP7	0.101734645057662	0.27469738976129	0.913790910495063	12
